[en default]
TFLV_MSG_LEVELUP_REJECTED = "Level-up rejected. XP reset to level floor.";
TFLV_MSG_PLAYER_LEVELUP  = "You gained a level of %s!";
TFLV_MSG_PLAYER_LEVELUP_READY = "You are ready to level up!";
TFLV_MSG_PLAYERSTATS_MISSING = "No info available for player %d";
TFLV_MSG_WEAPON_LEVELUP = "Your %s gained a level of %s!";
TFLV_MSG_WEAPON_LEVELUP_READY = "Your %s is ready to level up!";
TFLV_MSG_LD_REQUIRED = "This feature only works if you also have Legendoom installed.";
TFLV_MSG_LD_EFFECT = "Your %s gained the Legendoom effect [%s]!";
TFLV_MSG_LD_NO = "Legendoom not detected — LD-specific Gun Bonsai features disabled.";
TFLV_MSG_LD_YES = "Legendoom detected — enabling LD integration for Gun Bonsai.";
